Date,XRP
2017-01-01,0.006368
2017-01-02,0.006311
2017-01-03,0.006386
2017-01-04,0.00657
2017-01-05,0.006201
2017-01-06,0.006315
2017-01-07,0.006366
2017-01-08,0.006233
2017-01-09,0.006167
2017-01-10,0.006698
2017-01-11,0.006411
2017-01-12,0.006423
2017-01-13,0.006596
2017-01-14,0.006863
2017-01-15,0.006726
2017-01-16,0.006788
2017-01-17,0.0068
2017-01-18,0.006709
2017-01-19,0.007034
2017-01-20,0.006675
2017-01-21,0.006706
2017-01-22,0.006713
2017-01-23,0.006697
2017-01-24,0.00654
2017-01-25,0.006513
2017-01-26,0.00669
2017-01-27,0.006415
2017-01-28,0.006342
2017-01-29,0.006402
2017-01-30,0.006381
2017-01-31,0.006314
2017-02-01,0.00654
2017-02-02,0.006469
2017-02-03,0.006474
2017-02-04,0.006492
2017-02-05,0.006442
2017-02-06,0.00645
2017-02-07,0.006407
2017-02-08,0.006438
2017-02-09,0.006374
2017-02-10,0.006289
2017-02-11,0.006333
2017-02-12,0.006269
2017-02-13,0.006251
2017-02-14,0.006278
2017-02-15,0.006147
2017-02-16,0.006027
2017-02-17,0.005935
2017-02-18,0.005569
2017-02-19,0.005878
2017-02-20,0.005873
2017-02-21,0.005832
2017-02-22,0.00586
2017-02-23,0.005895
2017-02-24,0.005701
2017-02-25,0.005665
2017-02-26,0.005671
2017-02-27,0.005609
2017-02-28,0.005536
2017-03-01,0.005408
2017-03-02,0.005991
2017-03-03,0.006339
2017-03-04,0.006299
2017-03-05,0.006129
2017-03-06,0.006057
2017-03-07,0.006534
2017-03-08,0.006509
2017-03-09,0.006498
2017-03-10,0.006227
2017-03-11,0.006238
2017-03-12,0.006255
2017-03-13,0.006385
2017-03-14,0.006381
2017-03-15,0.006314
2017-03-16,0.006394
2017-03-17,0.006116
2017-03-18,0.00671
2017-03-19,0.006912
2017-03-20,0.006975
2017-03-21,0.006909
2017-03-22,0.007301
2017-03-23,0.010582
2017-03-24,0.010518
2017-03-25,0.009116
2017-03-26,0.009545
2017-03-27,0.009597
2017-03-28,0.009514
2017-03-29,0.010101
2017-03-30,0.013276
2017-03-31,0.020889
2017-04-01,0.021892
2017-04-02,0.061159
2017-04-03,0.033023
2017-04-04,0.037455
2017-04-05,0.035544
2017-04-06,0.032665
2017-04-07,0.036319
2017-04-08,0.035849
2017-04-09,0.03402
2017-04-10,0.033598
2017-04-11,0.032952
2017-04-12,0.034336
2017-04-13,0.034383
2017-04-14,0.033779
2017-04-15,0.033955
2017-04-16,0.033462
2017-04-17,0.033655
2017-04-18,0.033183
2017-04-19,0.030173
2017-04-20,0.029984
2017-04-21,0.03278
2017-04-22,0.03177
2017-04-23,0.031278
2017-04-24,0.031384
2017-04-25,0.032346
2017-04-26,0.032797
2017-04-27,0.034816
2017-04-28,0.044475
2017-04-29,0.052868
2017-04-30,0.051607
2017-05-01,0.055115
2017-05-02,0.053908
2017-05-03,0.06049
2017-05-04,0.078914
2017-05-05,0.09355
2017-05-06,0.101791
2017-05-07,0.141763
2017-05-08,0.198212
2017-05-09,0.160074
2017-05-10,0.186066
2017-05-11,0.183135
2017-05-12,0.206068
2017-05-13,0.214878
2017-05-14,0.220223
2017-05-15,0.27072
2017-05-16,0.349861
2017-05-17,0.394132
2017-05-18,0.364869
2017-05-19,0.327801
2017-05-20,0.351634
2017-05-21,0.336201
2017-05-22,0.317954
2017-05-23,0.323368
2017-05-24,0.29589
2017-05-25,0.246065
2017-05-26,0.271808
2017-05-27,0.212549
2017-05-28,0.229554
2017-05-29,0.23207
2017-05-30,0.205324
2017-05-31,0.24659
2017-06-01,0.333657
2017-06-02,0.303448
2017-06-03,0.29458
2017-06-04,0.299413
2017-06-05,0.294003
2017-06-06,0.284548
2017-06-07,0.279783
2017-06-08,0.289678
2017-06-09,0.286019
2017-06-10,0.260874
2017-06-11,0.272759
2017-06-12,0.253964
2017-06-13,0.266153
2017-06-14,0.278447
2017-06-15,0.259266
2017-06-16,0.262068
2017-06-17,0.268351
2017-06-18,0.2846
2017-06-19,0.296068
2017-06-20,0.324427
2017-06-21,0.296366
2017-06-22,0.297848
2017-06-23,0.319978
2017-06-24,0.31111
2017-06-25,0.298423
2017-06-26,0.277288
2017-06-27,0.276306
2017-06-28,0.280455
2017-06-29,0.265421
2017-06-30,0.26293
2017-07-01,0.254744
2017-07-02,0.259449
2017-07-03,0.259959
2017-07-04,0.254709
2017-07-05,0.256523
2017-07-06,0.254641
2017-07-07,0.23948
2017-07-08,0.236134
2017-07-09,0.233416
2017-07-10,0.203165
2017-07-11,0.185019
2017-07-12,0.205354
2017-07-13,0.200809
2017-07-14,0.190769
2017-07-15,0.170589
2017-07-16,0.148056
2017-07-17,0.177889
2017-07-18,0.188718
2017-07-19,0.168388
2017-07-20,0.188295
2017-07-21,0.182608
2017-07-22,0.19332
2017-07-23,0.195058
2017-07-24,0.192002
2017-07-25,0.178104
2017-07-26,0.173822
2017-07-27,0.173457
2017-07-28,0.165937
2017-07-29,0.169871
2017-07-30,0.165082
2017-07-31,0.167386
2017-08-01,0.177053
2017-08-02,0.173113
2017-08-03,0.174612
2017-08-04,0.173743
2017-08-05,0.184737
2017-08-06,0.180444
2017-08-07,0.179021
2017-08-08,0.192586
2017-08-09,0.182947
2017-08-10,0.180399
2017-08-11,0.179307
2017-08-12,0.173853
2017-08-13,0.168092
2017-08-14,0.169991
2017-08-15,0.161221
2017-08-16,0.160431
2017-08-17,0.157498
2017-08-18,0.158883
2017-08-19,0.155057
2017-08-20,0.158735
2017-08-21,0.191918
2017-08-22,0.239286
2017-08-23,0.246827
2017-08-24,0.218958
2017-08-25,0.217828
2017-08-26,0.212577
2017-08-27,0.202995
2017-08-28,0.224508
2017-08-29,0.218564
2017-08-30,0.228006
2017-08-31,0.25563
2017-09-01,0.248479
2017-09-02,0.226669
2017-09-03,0.228811
2017-09-04,0.204968
2017-09-05,0.215189
2017-09-06,0.226186
2017-09-07,0.22364
2017-09-08,0.211518
2017-09-09,0.209995
2017-09-10,0.213031
2017-09-11,0.214441
2017-09-12,0.209303
2017-09-13,0.200778
2017-09-14,0.164167
2017-09-15,0.181358
2017-09-16,0.179082
2017-09-17,0.178393
2017-09-18,0.189768
2017-09-19,0.184041
2017-09-20,0.182078
2017-09-21,0.171754
2017-09-22,0.17351
2017-09-23,0.177882
2017-09-24,0.175787
2017-09-25,0.181487
2017-09-26,0.186119
2017-09-27,0.203299
2017-09-28,0.196131
2017-09-29,0.193606
2017-09-30,0.197529
2017-10-01,0.206532
2017-10-02,0.202676
2017-10-03,0.203318
2017-10-04,0.214774
2017-10-05,0.237016
2017-10-06,0.234039
2017-10-07,0.23861
2017-10-08,0.279944
2017-10-09,0.251825
2017-10-10,0.260733
2017-10-11,0.264439
2017-10-12,0.248414
2017-10-13,0.260489
2017-10-14,0.25732
2017-10-15,0.263983
2017-10-16,0.256232
2017-10-17,0.232064
2017-10-18,0.21852
2017-10-19,0.21515
2017-10-20,0.210549
2017-10-21,0.211016
2017-10-22,0.204177
2017-10-23,0.196928
2017-10-24,0.206644
2017-10-25,0.204604
2017-10-26,0.203628
2017-10-27,0.202785
2017-10-28,0.201835
2017-10-29,0.202785
2017-10-30,0.202711
2017-10-31,0.200558
2017-11-01,0.194124
2017-11-02,0.205861
2017-11-03,0.208133
2017-11-04,0.20375
2017-11-05,0.202055
2017-11-06,0.20599
2017-11-07,0.210354
2017-11-08,0.217437
2017-11-09,0.217488
2017-11-10,0.206483
2017-11-11,0.21043
2017-11-12,0.197339
2017-11-13,0.203442
2017-11-14,0.209825
2017-11-15,0.212956
2017-11-16,0.227107
2017-11-17,0.226581
2017-11-18,0.228627
2017-11-19,0.231016
2017-11-20,0.2388
2017-11-21,0.2333
2017-11-22,0.2389
2017-11-23,0.2424
2017-11-24,0.2446
2017-11-25,0.2524
2017-11-26,0.2488
2017-11-27,0.2539
2017-11-28,0.2992
2017-11-29,0.2431
2017-11-30,0.2509
2017-12-01,0.255699
2017-12-02,0.255492
2017-12-03,0.252558
2017-12-04,0.253571
2017-12-05,0.246101
2017-12-06,0.232544
2017-12-07,0.222823
2017-12-08,0.252125
2017-12-09,0.244708
2017-12-10,0.237333
2017-12-11,0.251691
2017-12-12,0.373541
2017-12-13,0.471063
2017-12-14,0.864263
2017-12-15,0.756181
2017-12-16,0.758642
2017-12-17,0.728366
2017-12-18,0.778407
2017-12-19,0.791257
2017-12-20,0.775964
2017-12-21,1.19
2017-12-22,1.14
2017-12-23,1.17
2017-12-24,1.04
2017-12-25,1.12
2017-12-26,1.19
2017-12-27,1.4
2017-12-28,1.43
2017-12-29,2.21
2017-12-30,2.16
2017-12-31,2.3
2018-01-01,2.39
2018-01-02,2.48
2018-01-03,3.11
2018-01-04,3.2
2018-01-05,3.05
2018-01-06,3.09
2018-01-07,3.38
2018-01-08,2.46
2018-01-09,2.1
2018-01-10,1.97
2018-01-11,1.95
2018-01-12,2.04
2018-01-13,2.02
2018-01-14,1.86
2018-01-15,1.68
2018-01-16,1.18
2018-01-17,1.31
2018-01-18,1.6
2018-01-19,1.55
2018-01-20,1.58
2018-01-21,1.38
2018-01-22,1.36
2018-01-23,1.34
2018-01-24,1.36
2018-01-25,1.31
2018-01-26,1.22
2018-01-27,1.22
2018-01-28,1.4
2018-01-29,1.32
2018-01-30,1.14
2018-01-31,1.16
2018-02-01,0.96253
2018-02-02,0.884784
2018-02-03,0.924043
2018-02-04,0.815703
2018-02-05,0.691799
2018-02-06,0.776393
2018-02-07,0.723895
2018-02-08,0.805263
2018-02-09,0.954428
2018-02-10,1.07
2018-02-11,1
2018-02-12,1.08
2018-02-13,1.03
2018-02-14,1.14
2018-02-15,1.15
2018-02-16,1.14
2018-02-17,1.2
2018-02-18,1.12
2018-02-19,1.14
2018-02-20,1.09
2018-02-21,1.02
2018-02-22,0.941788
2018-02-23,0.998855
2018-02-24,0.954402
2018-02-25,0.943487
2018-02-26,0.956859
2018-02-27,0.947305
2018-02-28,0.904583
2018-03-01,0.928347
2018-03-02,0.910144
2018-03-03,0.907804
2018-03-04,1.01
2018-03-05,0.959368
2018-03-06,0.922887
2018-03-07,0.87121
2018-03-08,0.825857
2018-03-09,0.849761
2018-03-10,0.796627
2018-03-11,0.831122
2018-03-12,0.801048
2018-03-13,0.789711
2018-03-14,0.701902
2018-03-15,0.697269
2018-03-16,0.68926
2018-03-17,0.637856
2018-03-18,0.658777
2018-03-19,0.74908
2018-03-20,0.709808
2018-03-21,0.693664
2018-03-22,0.662743
2018-03-23,0.643174
2018-03-24,0.641265
2018-03-25,0.641875
2018-03-26,0.599463
2018-03-27,0.577917
2018-03-28,0.578002
2018-03-29,0.511511
2018-03-30,0.509565
2018-03-31,0.512353
2018-04-01,0.485081
2018-04-02,0.500688
2018-04-03,0.558044
2018-04-04,0.501631
2018-04-05,0.495801
2018-04-06,0.476431
2018-04-07,0.487867
2018-04-08,0.500398
2018-04-09,0.491855
2018-04-10,0.491931
2018-04-11,0.539506
2018-04-12,0.628737
2018-04-13,0.638087
2018-04-14,0.632184
2018-04-15,0.682534
2018-04-16,0.663297
2018-04-17,0.656933
2018-04-18,0.708932
2018-04-19,0.791976
2018-04-20,0.924465
2018-04-21,0.873103
2018-04-22,0.869995
2018-04-23,0.876657
2018-04-24,0.934781
2018-04-25,0.800607
2018-04-26,0.852414
2018-04-27,0.813885
2018-04-28,0.863804
2018-04-29,0.872778
2018-04-30,0.837938
2018-05-01,0.841407
2018-05-02,0.859094
2018-05-03,0.884466
2018-05-04,0.895442
2018-05-05,0.905103
2018-05-06,0.871424
2018-05-07,0.832641
2018-05-08,0.81397
2018-05-09,0.802043
2018-05-10,0.758237
2018-05-11,0.684948
2018-05-12,0.696735
2018-05-13,0.745748
2018-05-14,0.740898
2018-05-15,0.698588
2018-05-16,0.714081
2018-05-17,0.66731
2018-05-18,0.680294
2018-05-19,0.676713
2018-05-20,0.700244
2018-05-21,0.681587
2018-05-22,0.645567
2018-05-23,0.599594
2018-05-24,0.631997
2018-05-25,0.611001
2018-05-26,0.612708
2018-05-27,0.607881
2018-05-28,0.552299
2018-05-29,0.601241
2018-05-30,0.605817
2018-05-31,0.612622
2018-06-01,0.623364
2018-06-02,0.643451
2018-06-03,0.671205
2018-06-04,0.661425
2018-06-05,0.677015
2018-06-06,0.674797
2018-06-07,0.678128
2018-06-08,0.674343
2018-06-09,0.659755
2018-06-10,0.588126
2018-06-11,0.604066
2018-06-12,0.562933
2018-06-13,0.534663
2018-06-14,0.561306
2018-06-15,0.537707
2018-06-16,0.534784
2018-06-17,0.528216
2018-06-18,0.537495
2018-06-19,0.549621
2018-06-20,0.539286
2018-06-21,0.534775
2018-06-22,0.486947
2018-06-23,0.491284
2018-06-24,0.47738
2018-06-25,0.481753
2018-06-26,0.456001
2018-06-27,0.47037
2018-06-28,0.448458
2018-06-29,0.45308
2018-06-30,0.466245
2018-07-01,0.461358
2018-07-02,0.486122
2018-07-03,0.485223
2018-07-04,0.490043
2018-07-05,0.481625
2018-07-06,0.479151
2018-07-07,0.492477
2018-07-08,0.477749
2018-07-09,0.47427
2018-07-10,0.445042
2018-07-11,0.450233
2018-07-12,0.435364
2018-07-13,0.438741
2018-07-14,0.439271
2018-07-15,0.445894
2018-07-16,0.483401
2018-07-17,0.505587
2018-07-18,0.486389
2018-07-19,0.476433
2018-07-20,0.446994
2018-07-21,0.45541
2018-07-22,0.449311
2018-07-23,0.445276
2018-07-24,0.457623
2018-07-25,0.459829
2018-07-26,0.44992
2018-07-27,0.453635
2018-07-28,0.453667
2018-07-29,0.453306
2018-07-30,0.446107
2018-07-31,0.435225
2018-08-01,0.445852
